iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,people_vaccinated
KEN,Africa,Kenya,06/03/2020,,,,,,31,,
KEN,Africa,Kenya,07/03/2020,,,,,,,,
KEN,Africa,Kenya,08/03/2020,,,,,,,,
KEN,Africa,Kenya,09/03/2020,,,,,,,,
KEN,Africa,Kenya,10/03/2020,,,,,,,,
KEN,Africa,Kenya,11/03/2020,,,,,,,,
KEN,Africa,Kenya,12/03/2020,,,,,,,,
KEN,Africa,Kenya,13/03/2020,1,1,,,,,,
KEN,Africa,Kenya,14/03/2020,1,0,,,,,,
KEN,Africa,Kenya,15/03/2020,3,2,,,,,,
KEN,Africa,Kenya,16/03/2020,3,0,,,,,,
KEN,Africa,Kenya,17/03/2020,3,0,,,,111,,
KEN,Africa,Kenya,18/03/2020,3,0,,,21,132,0.048,
KEN,Africa,Kenya,19/03/2020,7,4,,,41,173,0.071,
KEN,Africa,Kenya,20/03/2020,7,0,,,,,0.039,
KEN,Africa,Kenya,21/03/2020,7,0,,,,,0.03,
KEN,Africa,Kenya,22/03/2020,15,8,,,,,0.046,
KEN,Africa,Kenya,23/03/2020,16,1,,,,,0.041,
KEN,Africa,Kenya,24/03/2020,25,9,,,,,0.06,
KEN,Africa,Kenya,25/03/2020,28,3,,,,,0.062,
KEN,Africa,Kenya,26/03/2020,31,3,1,1,,600,0.056,
KEN,Africa,Kenya,27/03/2020,31,0,1,0,,,0.05,
KEN,Africa,Kenya,28/03/2020,38,7,1,0,,833,0.058,
KEN,Africa,Kenya,29/03/2020,42,4,1,0,69,902,0.049,
KEN,Africa,Kenya,30/03/2020,50,8,1,0,172,1074,0.052,
KEN,Africa,Kenya,31/03/2020,59,9,1,0,234,1308,0.041,
KEN,Africa,Kenya,01/04/2020,81,22,1,0,380,1688,0.046,
KEN,Africa,Kenya,02/04/2020,110,29,3,2,662,2350,0.045,
KEN,Africa,Kenya,03/04/2020,122,12,4,1,362,2712,0.046,
KEN,Africa,Kenya,04/04/2020,126,4,4,0,372,3084,0.039,
KEN,Africa,Kenya,05/04/2020,142,16,4,0,530,3614,0.037,
KEN,Africa,Kenya,06/04/2020,158,16,6,2,663,4277,0.034,
KEN,Africa,Kenya,07/04/2020,172,14,6,0,696,4973,0.031,
KEN,Africa,Kenya,08/04/2020,179,7,6,0,305,5278,0.027,
KEN,Africa,Kenya,09/04/2020,184,5,7,1,308,5586,0.023,
KEN,Africa,Kenya,10/04/2020,189,5,7,0,606,6192,0.019,
KEN,Africa,Kenya,11/04/2020,191,2,7,0,491,6683,0.018,
KEN,Africa,Kenya,12/04/2020,197,6,8,1,766,7449,0.014,
KEN,Africa,Kenya,13/04/2020,208,11,9,1,674,8123,0.013,
KEN,Africa,Kenya,14/04/2020,216,8,9,0,694,8817,0.011,
KEN,Africa,Kenya,15/04/2020,225,9,10,1,803,9620,0.011,
KEN,Africa,Kenya,16/04/2020,234,9,11,1,704,10324,0.011,
KEN,Africa,Kenya,17/04/2020,246,12,11,0,450,10774,0.012,
KEN,Africa,Kenya,18/04/2020,262,16,12,1,1115,11889,0.014,
KEN,Africa,Kenya,19/04/2020,270,8,14,2,1350,13239,0.013,
KEN,Africa,Kenya,20/04/2020,281,11,14,0,633,13872,0.013,
KEN,Africa,Kenya,21/04/2020,296,15,14,0,832,14704,0.014,
KEN,Africa,Kenya,22/04/2020,303,7,14,0,707,15411,0.013,
KEN,Africa,Kenya,23/04/2020,320,17,14,0,668,16079,0.015,
KEN,Africa,Kenya,24/04/2020,336,16,14,0,659,16738,0.015,
KEN,Africa,Kenya,25/04/2020,343,7,14,0,,,0.015,
KEN,Africa,Kenya,26/04/2020,355,12,14,0,,,0.018,
KEN,Africa,Kenya,27/04/2020,363,8,14,0,,,0.018,
KEN,Africa,Kenya,28/04/2020,374,11,14,0,,,0.018,
KEN,Africa,Kenya,29/04/2020,384,10,15,1,,,0.019,
KEN,Africa,Kenya,30/04/2020,396,12,17,2,,20268,0.018,
KEN,Africa,Kenya,01/05/2020,411,15,21,4,1434,21702,0.015,
KEN,Africa,Kenya,02/05/2020,435,24,22,1,1195,22897,0.017,
KEN,Africa,Kenya,03/05/2020,465,30,24,2,883,23780,0.019,
KEN,Africa,Kenya,04/05/2020,490,25,24,0,1012,24792,0.02,
KEN,Africa,Kenya,05/05/2020,535,45,24,0,1077,25869,0.024,
KEN,Africa,Kenya,06/05/2020,582,47,26,2,,,0.027,
KEN,Africa,Kenya,07/05/2020,607,25,29,3,,,0.026,
KEN,Africa,Kenya,08/05/2020,621,14,29,0,,29430,0.027,
KEN,Africa,Kenya,09/05/2020,649,28,30,1,1611,31041,0.026,
KEN,Africa,Kenya,10/05/2020,672,23,32,2,1056,32097,0.025,
KEN,Africa,Kenya,11/05/2020,700,28,33,1,841,32938,0.026,
KEN,Africa,Kenya,12/05/2020,715,15,36,3,978,33916,0.022,
KEN,Africa,Kenya,13/05/2020,737,22,40,4,1516,35432,0.018,
KEN,Africa,Kenya,14/05/2020,758,21,42,2,1486,36918,0.017,
KEN,Africa,Kenya,15/05/2020,781,23,45,3,2100,39018,0.017,
KEN,Africa,Kenya,16/05/2020,830,49,50,5,,,0.018,
KEN,Africa,Kenya,17/05/2020,887,57,50,0,,43712,0.019,
KEN,Africa,Kenya,18/05/2020,912,25,50,0,1139,44851,0.018,
KEN,Africa,Kenya,19/05/2020,963,51,50,0,1933,46784,0.019,
